entity_id,observation_id
ent_00798cd7d8548796,obs_91efaf98e3f0
ent_008588b568bdc6f0,obs_083706d29fb8
ent_008588b568bdc6f0,obs_1860f0c570d6
ent_011eebc548e805df,obs_2ba266563519
ent_011eebc548e805df,obs_62e30895d0bb
ent_011eebc548e805df,obs_a955e7fc8b53
ent_011eebc548e805df,obs_af7dbae7d9aa
ent_011eebc548e805df,obs_e7356c095036
ent_012e90bec41638bd,obs_e71f8e7ea587
ent_0140b1085e9b45a2,obs_d8650c7f94f7
ent_01539fd57612d78c,obs_040184b2333e
ent_01539fd57612d78c,obs_a6e51c393d48
ent_01539fd57612d78c,obs_bad091b6ec6c
ent_016be4e5e417d833,obs_9c67d0b1bae1
ent_021d62ef0835c768,obs_09f253a2aa4d
ent_023881db1c7534fb,obs_178d823875a8
ent_023881db1c7534fb,obs_275ca8e86ef3
ent_023881db1c7534fb,obs_37e5b7309415
ent_023881db1c7534fb,obs_c43c66ce9b69
ent_023881db1c7534fb,obs_c8c66bce657d
ent_023881db1c7534fb,obs_cb2cdbd3d300
ent_023881db1c7534fb,obs_ddc284c4b192
ent_023881db1c7534fb,obs_f85e14de529c
ent_024da1ee0f1c3060,obs_63b9f4cdaf59
ent_025934266fedb40c,obs_a7b6fe6b03ae
ent_0264e17d79dfd7d0,obs_1f5f4acc6123
ent_0264e17d79dfd7d0,obs_28737710927c
ent_0264e17d79dfd7d0,obs_43a2b44aa8b2
ent_0264e17d79dfd7d0,obs_4d49542a17e5
ent_0264e17d79dfd7d0,obs_90b274fa1a93
ent_0264e17d79dfd7d0,obs_93f3bedef6da
ent_0264e17d79dfd7d0,obs_f6af1f174753
ent_02a90b60a92a5fde,obs_e25251870da6
ent_035e8c2d1dce9053,obs_949fdf40c938
ent_038360f851d3c01c,obs_1c9b3ef7acf6
ent_038360f851d3c01c,obs_2109e2181b6e
ent_038360f851d3c01c,obs_33bda6f3479c
ent_038360f851d3c01c,obs_37b75723c4ef
ent_038360f851d3c01c,obs_3dcb6a84ceb8
ent_038360f851d3c01c,obs_529af709f7cb
ent_038360f851d3c01c,obs_53309b90650c
ent_038360f851d3c01c,obs_5b61acaf7baa
ent_038360f851d3c01c,obs_64ed48185c2b
ent_038360f851d3c01c,obs_a45602cd0365
ent_038360f851d3c01c,obs_b3129c088a38
ent_038360f851d3c01c,obs_dade304cdc9a
ent_038360f851d3c01c,obs_e4312a397ee2
ent_038360f851d3c01c,obs_f9920bdca356
ent_03ce62b7e90f4d08,obs_16fc675a27e6
ent_03ce62b7e90f4d08,obs_1fb23ae4369d
ent_03ce62b7e90f4d08,obs_2aecbae3f82e
ent_03ce62b7e90f4d08,obs_83f1ce94a1ab
ent_03ce62b7e90f4d08,obs_9ed072414dc2
ent_03d631fb62aeb2b6,obs_0044ae5c67ad
ent_03d631fb62aeb2b6,obs_14857bb78163
ent_03d631fb62aeb2b6,obs_4e926138a548
ent_03d631fb62aeb2b6,obs_51829fbf18e1
ent_03d631fb62aeb2b6,obs_54d4b0eb497b
ent_03d631fb62aeb2b6,obs_7df126e77d42
ent_03d631fb62aeb2b6,obs_c48ce37b1b8b
ent_041adbff7367a8d3,obs_8a401a58df0c
ent_041adbff7367a8d3,obs_f2f854517fd4
ent_0631fe42b5b5605b,obs_08dfe3ade91f
ent_0631fe42b5b5605b,obs_1b33016d6a10
ent_0631fe42b5b5605b,obs_24520646bffb
ent_0631fe42b5b5605b,obs_763fd7164ee5
ent_0631fe42b5b5605b,obs_7789648e416b
ent_0631fe42b5b5605b,obs_e42091f5cda9
ent_0631fe42b5b5605b,obs_e8609523a3dd
ent_06356a3b1734a406,obs_44da38ff4011
ent_066591cdfd0833c9,obs_0077e0efdf22
ent_075ffd892b853233,obs_1a41c46a4cfa
ent_075ffd892b853233,obs_c522a96345a4
ent_080cdd77c70242d7,obs_d0825c176bb3
ent_083465913eb71667,obs_4ef316fba8aa
ent_083465913eb71667,obs_fcef3a327179
ent_085a199e2e7ede13,obs_1ac1f5741aab
ent_08678e4e736ac0ff,obs_0edeac6c0c87
ent_08792289d96a9cf8,obs_0ab228400680
ent_08792289d96a9cf8,obs_a8dc616d4731
ent_088f7488061f072e,obs_358d28872998
ent_088f7488061f072e,obs_b61a42137cae
ent_088f7488061f072e,obs_db3e59952061
ent_088f7488061f072e,obs_dd6100e84ef2
