:START_ID(Entity-ID),:END_ID(Observation-ID),:TYPE
ent_0003afcded4463a0,obs_02cf3ac4ef6d,HAS_OBSERVATION
ent_00081508f4e60366,obs_06c337f31736,HAS_OBSERVATION
ent_00081508f4e60366,obs_b74115c56954,HAS_OBSERVATION
ent_002f06e36c771128,obs_35c150fcd54b,HAS_OBSERVATION
ent_002f06e36c771128,obs_d165b5dda5f7,HAS_OBSERVATION
ent_00829985204a0b85,obs_a45eca2bdde8,HAS_OBSERVATION
ent_00829985204a0b85,obs_cacfbb93ea05,HAS_OBSERVATION
ent_00b5eb72aadb3c14,obs_04281c0b05e3,HAS_OBSERVATION
ent_00b5eb72aadb3c14,obs_12ef13fbeb27,HAS_OBSERVATION
ent_00b5eb72aadb3c14,obs_1cc876c32383,HAS_OBSERVATION
ent_00b5eb72aadb3c14,obs_22f1f9055364,HAS_OBSERVATION
ent_00b5eb72aadb3c14,obs_25f688fb467b,HAS_OBSERVATION
ent_00b5eb72aadb3c14,obs_28afca0c530e,HAS_OBSERVATION
ent_00b5eb72aadb3c14,obs_2b0e74b106cb,HAS_OBSERVATION
ent_00b5eb72aadb3c14,obs_3109a21f78a3,HAS_OBSERVATION
ent_00b5eb72aadb3c14,obs_340e81413811,HAS_OBSERVATION
ent_00b5eb72aadb3c14,obs_34743e598e2c,HAS_OBSERVATION
ent_00b5eb72aadb3c14,obs_38dc8357149f,HAS_OBSERVATION
ent_00b5eb72aadb3c14,obs_41cdfeab758b,HAS_OBSERVATION
ent_00b5eb72aadb3c14,obs_4677825390e3,HAS_OBSERVATION
ent_00b5eb72aadb3c14,obs_475901529f83,HAS_OBSERVATION
ent_00b5eb72aadb3c14,obs_59bf08f5e50b,HAS_OBSERVATION
ent_00b5eb72aadb3c14,obs_622e1b23e10a,HAS_OBSERVATION
ent_00b5eb72aadb3c14,obs_65b8130a44f9,HAS_OBSERVATION
ent_00b5eb72aadb3c14,obs_68212ecc9452,HAS_OBSERVATION
ent_00b5eb72aadb3c14,obs_70e64773aad0,HAS_OBSERVATION
ent_00b5eb72aadb3c14,obs_78da607931d8,HAS_OBSERVATION
ent_00b5eb72aadb3c14,obs_8195f8eef46d,HAS_OBSERVATION
ent_00b5eb72aadb3c14,obs_8607f48b321c,HAS_OBSERVATION
ent_00b5eb72aadb3c14,obs_9b4397c21953,HAS_OBSERVATION
ent_00b5eb72aadb3c14,obs_9d2c33ae70cb,HAS_OBSERVATION
ent_00b5eb72aadb3c14,obs_ab60cb22db2a,HAS_OBSERVATION
ent_00b5eb72aadb3c14,obs_b176a41524f8,HAS_OBSERVATION
