entity_id,observation_id
ent_0003afcded4463a0,obs_02cf3ac4ef6d
ent_00081508f4e60366,obs_06c337f31736
ent_00081508f4e60366,obs_b74115c56954
ent_002f06e36c771128,obs_35c150fcd54b
ent_002f06e36c771128,obs_d165b5dda5f7
ent_00829985204a0b85,obs_a45eca2bdde8
ent_00829985204a0b85,obs_cacfbb93ea05
ent_00b5eb72aadb3c14,obs_04281c0b05e3
ent_00b5eb72aadb3c14,obs_12ef13fbeb27
ent_00b5eb72aadb3c14,obs_1cc876c32383
ent_00b5eb72aadb3c14,obs_22f1f9055364
ent_00b5eb72aadb3c14,obs_25f688fb467b
ent_00b5eb72aadb3c14,obs_28afca0c530e
ent_00b5eb72aadb3c14,obs_2b0e74b106cb
ent_00b5eb72aadb3c14,obs_3109a21f78a3
ent_00b5eb72aadb3c14,obs_340e81413811
ent_00b5eb72aadb3c14,obs_34743e598e2c
ent_00b5eb72aadb3c14,obs_38dc8357149f
ent_00b5eb72aadb3c14,obs_41cdfeab758b
ent_00b5eb72aadb3c14,obs_4677825390e3
ent_00b5eb72aadb3c14,obs_475901529f83
ent_00b5eb72aadb3c14,obs_59bf08f5e50b
ent_00b5eb72aadb3c14,obs_622e1b23e10a
ent_00b5eb72aadb3c14,obs_65b8130a44f9
ent_00b5eb72aadb3c14,obs_68212ecc9452
ent_00b5eb72aadb3c14,obs_70e64773aad0
ent_00b5eb72aadb3c14,obs_78da607931d8
ent_00b5eb72aadb3c14,obs_8195f8eef46d
ent_00b5eb72aadb3c14,obs_8607f48b321c
ent_00b5eb72aadb3c14,obs_9b4397c21953
ent_00b5eb72aadb3c14,obs_9d2c33ae70cb
ent_00b5eb72aadb3c14,obs_ab60cb22db2a
ent_00b5eb72aadb3c14,obs_b176a41524f8
ent_00b5eb72aadb3c14,obs_ba671243ef16
ent_00b5eb72aadb3c14,obs_bbf62e6dbc10
ent_00b5eb72aadb3c14,obs_c1d1abdb9f2d
ent_00b5eb72aadb3c14,obs_ce5e448d8026
ent_00b5eb72aadb3c14,obs_eda48b5c28ac
ent_00b5eb72aadb3c14,obs_f448f6be5684
ent_00b5eb72aadb3c14,obs_faff2055619d
ent_01129687df330596,obs_afaa4154899f
ent_012a6c05e4d921ce,obs_7e152ae678c6
ent_012a6c05e4d921ce,obs_a9e1b3f80120
ent_015aaf8494136575,obs_724915be72d2
ent_019a3c16974eac7d,obs_0f860f8cc821
ent_019a3c16974eac7d,obs_7abe3073094a
ent_0210d9efebdce7f2,obs_5325108d51bf
ent_021e94630e77dcc2,obs_901f9ba5c65d
ent_0228247d5d96544b,obs_2b48398fa6a0
ent_0228247d5d96544b,obs_ef6e35b1681f
ent_02436c4f3cd2c89d,obs_050470ccba77
ent_02436c4f3cd2c89d,obs_27e618c0dbaa
ent_02436c4f3cd2c89d,obs_68df38a1fa25
ent_02436c4f3cd2c89d,obs_6b4111c82437
ent_02436c4f3cd2c89d,obs_75ca6e71d183
ent_02436c4f3cd2c89d,obs_8df9673ee749
ent_02436c4f3cd2c89d,obs_8e25eb1e92f9
ent_02436c4f3cd2c89d,obs_a98fd82bcb59
ent_02436c4f3cd2c89d,obs_d9f088429f6b
ent_0276af44cebed301,obs_04e87b4532bc
ent_0276af44cebed301,obs_e8419a511804
ent_02870938a3c7e7be,obs_0643e81e32c5
ent_02870938a3c7e7be,obs_99a08416f2f0
ent_0288a87acf74c72d,obs_98092d05f0c5
ent_02c28aa2680bd462,obs_8b1fdd81872e
ent_02f9092bcf02521f,obs_f63b4c8fe8ec
ent_03139763483a286e,obs_e0235ea2c26c
ent_038802c6c8d34fe2,obs_bbdd978cf2c0
ent_0388098d54e84545,obs_2ea3bc6519ee
ent_0388098d54e84545,obs_4453fbf3eb36
ent_0388098d54e84545,obs_4ab3c7ab4d86
ent_0388098d54e84545,obs_77320a23f2b5
ent_0388098d54e84545,obs_c9b8dfcfd0c1
ent_03bcf879ab755cd4,obs_5ac04f72fbfd
ent_041e094ed62f10d2,obs_23f3af088ded
ent_041e094ed62f10d2,obs_29a31177df23
ent_041e094ed62f10d2,obs_2b6b0c59b546
ent_041e094ed62f10d2,obs_5efb1a320d1e
ent_041e094ed62f10d2,obs_c1bcd7914a97
ent_041e094ed62f10d2,obs_cff632c746af
ent_047a22c4327479a4,obs_c919f723055b
ent_047a22c4327479a4,obs_f78b5deebda8
ent_04cd2af98543499a,obs_0057b9a526be
ent_04cd2af98543499a,obs_2d6c98745de2
ent_04dd600be9eafc3b,obs_3b960eeadf13
ent_04ee399e95bfb166,obs_5978881ec1f2
ent_04ee399e95bfb166,obs_71302c1dfde2
ent_04ee399e95bfb166,obs_71c766ff18d9
ent_04ee399e95bfb166,obs_c97b4b9ec284
ent_04ee399e95bfb166,obs_ffcb8644d530
ent_050c5f117d914bef,obs_bb8780494173
ent_0519624acb43ac50,obs_310db91dad3d
ent_0519624acb43ac50,obs_bdcad440d652
ent_0519624acb43ac50,obs_dca57705cd15
ent_054cbc3dc7572149,obs_3bf2aa8c5482
ent_054cbc3dc7572149,obs_a5f30a893e5f
ent_056309e9647e5144,obs_20658a5008a8
ent_056309e9647e5144,obs_53b5171e4608
ent_056309e9647e5144,obs_df36da599932
ent_05c449fdbf72346a,obs_7cd89cac4237
ent_05c449fdbf72346a,obs_9dde09a62013
ent_05f638af655fdc76,obs_55477c764111
ent_05f638af655fdc76,obs_b2f08a3f4261
ent_0612ac996173078a,obs_1b3acbd976fa
ent_0612ac996173078a,obs_832074d10c84
ent_0612ac996173078a,obs_8d1b7af89f93
ent_0612ac996173078a,obs_c3b6da364755
ent_06958601b6f393a6,obs_1fd65de604b8
ent_070f6dd6f1c6f001,obs_4e77ca9ccd2a
ent_072ddfdc9f382cf2,obs_0e7b3a2b0fa9
ent_072ddfdc9f382cf2,obs_5dff03cefa22
ent_072ddfdc9f382cf2,obs_864ae0e77631
ent_072ddfdc9f382cf2,obs_a7f7c4861e59
ent_072ddfdc9f382cf2,obs_c3ca0e320a16
ent_07313b4c380d2325,obs_7753b2a9cb6c
ent_076261799ed2e6bf,obs_2f83f8e58d3b
ent_076261799ed2e6bf,obs_33e8ee1bc011
ent_076261799ed2e6bf,obs_416e352c69b0
ent_076261799ed2e6bf,obs_6f48491a6836
ent_076261799ed2e6bf,obs_d038611bdc37
ent_081bfce9b59cfeda,obs_68777bf53a51
ent_081bfce9b59cfeda,obs_840e45a600ad
ent_084d581f3d7c807d,obs_78055bd3ccc3
ent_086357aacb19f812,obs_8541ccd2c9dc
