entity_id:ID(Entity-ID),:LABEL,canonical_entity_id,canonical_key,display_name,normalized_name,name,primary_type,type,type_labels_json,type_labels_pipe,description,attributes_json,source_chunk_ids_json,source_chunk_ids_pipe,entity_occurrence_ids_json,entity_occurrence_ids_pipe
ent_001392361cb630ab,Entity,ent_001392361cb630ab,ent_001392361cb630ab,焊接记录与焊接工艺评定报告,焊接记录与焊接工艺评定报告,焊接记录与焊接工艺评定报告,文件,文件,"[""文件""]",文件,,{},[348],348,"[""eocc_dca5b96f5c053d56""]",eocc_dca5b96f5c053d56
ent_0125cc0bd7bd9b14,Entity,ent_0125cc0bd7bd9b14,ent_0125cc0bd7bd9b14,装配工序检验,装配工序检验,装配工序检验,检验/试验,检验/试验,"[""检验/试验""]",检验/试验,,{},[344],344,"[""eocc_3b2ae1c231a0e280""]",eocc_3b2ae1c231a0e280
ent_01eb22edd7bc3c8a,Entity,ent_01eb22edd7bc3c8a,ent_01eb22edd7bc3c8a,驱动泵上的安全阀起跳,驱动泵上的安全阀起跳,驱动泵上的安全阀起跳,故障/异常,故障/异常,"[""故障/异常""]",故障/异常,,{},[352],352,"[""eocc_86fda94699db4e18""]",eocc_86fda94699db4e18
ent_0213b7fabde76d81,Entity,ent_0213b7fabde76d81,ent_0213b7fabde76d81,损伤,损伤,损伤,故障/异常,故障/异常,"[""故障/异常""]",故障/异常,,{},[344],344,"[""eocc_91ef6ba9c7eb4c72""]",eocc_91ef6ba9c7eb4c72
ent_02efb5806fcf25c8,Entity,ent_02efb5806fcf25c8,ent_02efb5806fcf25c8,安全交底,安全交底,安全交底,维修活动,维修活动,"[""维修活动""]",维修活动,,{},[342],342,"[""eocc_73ecacf24ef4065e""]",eocc_73ecacf24ef4065e
ent_0316838b84c8cd61,Entity,ent_0316838b84c8cd61,ent_0316838b84c8cd61,精度,精度,精度,参数/指标,参数/指标,"[""参数/指标""]",参数/指标,,{},[338],338,"[""eocc_003f2e52bd70455b""]",eocc_003f2e52bd70455b
ent_03ea195acfd1d1f9,Entity,ent_03ea195acfd1d1f9,ent_03ea195acfd1d1f9,安全防护装置,安全防护装置,安全防护装置,设备对象,设备对象,"[""设备对象""]",设备对象,,{},[345],345,"[""eocc_c172841126d3ca4f""]",eocc_c172841126d3ca4f
ent_0472dfefc677fc53,Entity,ent_0472dfefc677fc53,ent_0472dfefc677fc53,示功阀,示功阀,示功阀,设备对象,设备对象,"[""设备对象""]",设备对象,,{},[347],347,"[""eocc_7781ef099d81577e""]",eocc_7781ef099d81577e
ent_04d80d22781d3f20,Entity,ent_04d80d22781d3f20,ent_04d80d22781d3f20,排气正时,排气正时,排气正时,参数/指标,参数/指标,"[""参数/指标""]",参数/指标,,{},[359],359,"[""eocc_dd17abcc1e682172""]",eocc_dd17abcc1e682172
ent_04e9c487554c03dd,Entity,ent_04e9c487554c03dd,ent_04e9c487554c03dd,缸体,缸体,缸体,设备对象,设备对象,"[""设备对象""]",设备对象,,{},"[352, 354]",352|354,"[""eocc_dee7b1cbdf49139e"", ""eocc_f830adf12b36b7eb""]",eocc_dee7b1cbdf49139e|eocc_f830adf12b36b7eb
ent_05b1cc520d21f7b7,Entity,ent_05b1cc520d21f7b7,ent_05b1cc520d21f7b7,集气箱,集气箱,集气箱,设备对象,设备对象,"[""设备对象""]",设备对象,,{},[358],358,"[""eocc_9b8c64bab2818e57""]",eocc_9b8c64bab2818e57
ent_05ca319305ef53c4,Entity,ent_05ca319305ef53c4,ent_05ca319305ef53c4,悬挂警示牌,悬挂警示牌,悬挂警示牌,维修活动,维修活动,"[""维修活动""]",维修活动,,"{""内容"": ""禁止操作，正在维修""}",[330],330,"[""eocc_b750ac0f1617eee5""]",eocc_b750ac0f1617eee5
ent_0629c32d248786ce,Entity,ent_0629c32d248786ce,ent_0629c32d248786ce,气缸盖裂纹,气缸盖裂纹,气缸盖裂纹,故障/异常,故障/异常,"[""故障/异常""]",故障/异常,,{},[335],335,"[""eocc_80fc563c45eb7dbb""]",eocc_80fc563c45eb7dbb
ent_064278ce1aed0718,Entity,ent_064278ce1aed0718,ent_064278ce1aed0718,锁紧装置,锁紧装置,锁紧装置,设备对象,设备对象,"[""设备对象""]",设备对象,,{},[345],345,"[""eocc_2f5ef6953aa03d72""]",eocc_2f5ef6953aa03d72
ent_06635fde7da16be3,Entity,ent_06635fde7da16be3,ent_06635fde7da16be3,连锁故障,连锁故障,连锁故障,故障/异常,故障/异常,"[""故障/异常""]",故障/异常,,{},[355],355,"[""eocc_5dd43ac360445881""]",eocc_5dd43ac360445881
ent_068493579e025c46,Entity,ent_068493579e025c46,ent_068493579e025c46,曲轴修复,曲轴修复,曲轴修复,维修工艺/措施,维修工艺/措施,"[""维修工艺/措施""]",维修工艺/措施,,{},[337],337,"[""eocc_07117683b42d656d""]",eocc_07117683b42d656d
ent_069b45b1e8be770e,Entity,ent_069b45b1e8be770e,ent_069b45b1e8be770e,技术标准,技术标准,技术标准,文件,文件,"[""文件""]",文件,,{},"[338, 340]",338|340,"[""eocc_4cd70b2803bcdf7a"", ""eocc_669e88eb9436e933""]",eocc_4cd70b2803bcdf7a|eocc_669e88eb9436e933
ent_06f79b133a0c39ac,Entity,ent_06f79b133a0c39ac,ent_06f79b133a0c39ac,部件装配顺序,部件装配顺序,部件装配顺序,参数/指标,参数/指标,"[""参数/指标""]",参数/指标,,{},[336],336,"[""eocc_6049bfa142f1d6b2""]",eocc_6049bfa142f1d6b2
ent_080e5efdbf42c5dd,Entity,ent_080e5efdbf42c5dd,ent_080e5efdbf42c5dd,控制单缸负荷,控制单缸负荷,控制单缸负荷,维修工艺/措施,维修工艺/措施,"[""维修工艺/措施""]",维修工艺/措施,,{},[354],354,"[""eocc_ea4882138ba7f0c6""]",eocc_ea4882138ba7f0c6
ent_0832ebeb061c7972,Entity,ent_0832ebeb061c7972,ent_0832ebeb061c7972,冷却不足,冷却不足,冷却不足,原因/影响因素,原因/影响因素,"[""原因/影响因素""]",原因/影响因素,,{},[334],334,"[""eocc_eff9f3574dfe7ea4""]",eocc_eff9f3574dfe7ea4
