:START_ID(Entity-ID),:END_ID(Observation-ID),:TYPE,canonical_type_en,display_type_zh,display_type_en,display_type_bilingual
ent_001392361cb630ab,obs_7d37b5cda3ed,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_0125cc0bd7bd9b14,obs_54f080eef9a4,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_0125cc0bd7bd9b14,obs_56c685cd24fa,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_0125cc0bd7bd9b14,obs_7a1b8cf4d461,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_0125cc0bd7bd9b14,obs_fef97db2e718,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_01eb22edd7bc3c8a,obs_0e8f05725460,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_01eb22edd7bc3c8a,obs_5c57d4461392,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_01eb22edd7bc3c8a,obs_7a5f8d3babbb,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_01eb22edd7bc3c8a,obs_cd85617a8783,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_0213b7fabde76d81,obs_8cc46a94fd81,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_02efb5806fcf25c8,obs_c9d2544f07eb,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_03ea195acfd1d1f9,obs_510029dc3338,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_0472dfefc677fc53,obs_41160a2d0762,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_04d80d22781d3f20,obs_28cc5ae79c62,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_04d80d22781d3f20,obs_5d7c2e7e4535,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_04e9c487554c03dd,obs_57be248e531f,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_04e9c487554c03dd,obs_d79bc1ba75f3,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_05b1cc520d21f7b7,obs_628ed5b53037,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_05ca319305ef53c4,obs_ef7acdf000f8,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_0629c32d248786ce,obs_12fa6c9aa1c5,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_064278ce1aed0718,obs_43782c0ed1be,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_06635fde7da16be3,obs_0a854a6e65a6,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_068493579e025c46,obs_5f431f847c8d,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_068493579e025c46,obs_a06d39c3150f,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_069b45b1e8be770e,obs_c14988655cec,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_080e5efdbf42c5dd,obs_3a6f98980acc,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_080e5efdbf42c5dd,obs_a3bd1e0e0bc8,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_083868f736c53d4e,obs_0688b8d2ef79,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_083868f736c53d4e,obs_1a3d191b843d,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_083868f736c53d4e,obs_454ba4869fd2,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_083868f736c53d4e,obs_a1b676f94458,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_083868f736c53d4e,obs_d83f4a09ca25,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_085adf896cec2ed0,obs_bffed56560bf,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_085adf896cec2ed0,obs_d5fc9d58588e,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_088a9b6c600f4792,obs_008020f3b0c1,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_088a9b6c600f4792,obs_358b4944389a,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_088a9b6c600f4792,obs_8e85982553eb,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_088a9b6c600f4792,obs_8ff1294f5fc3,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_088a9b6c600f4792,obs_91744c7fee3a,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_088a9b6c600f4792,obs_e5b1d4b7ce72,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_08d380f13e73499a,obs_27d848767c3b,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_091a65dbbca40f50,obs_90aa4c16013c,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_091a65dbbca40f50,obs_b18f8de129ab,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_0969917e36a90302,obs_990bb59bcac3,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_0b11dc6ec8abd040,obs_0c3069c62562,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_0b7b68e46f1f1d56,obs_59a467a239d9,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_0b7b68e46f1f1d56,obs_5bbfd73050d0,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_0b8b7f751039d3b1,obs_8e390d1b5431,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_0bb4df1025d87ac6,obs_4c7d59ff34c2,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_0bb4df1025d87ac6,obs_7faf4f50d41e,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_0bdefbafce878211,obs_50f66bf1a099,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_0ccdfad8011fc11f,obs_8ce990690fa2,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_0d6e7284de2fc700,obs_94c4a01f8a2f,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_0d9e824f3fc4d853,obs_8813b7bb55b5,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_0db00f4c5fedcc1c,obs_d6362f76cee6,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_0de04417f426ae80,obs_89e46b3d0ef4,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_0df5be3aca34a4a2,obs_18cb830461ba,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_0df5be3aca34a4a2,obs_8c233883f3de,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
