:START_ID(Entity-ID),:END_ID(Observation-ID),:TYPE,canonical_type_en,display_type_zh,display_type_en,display_type_bilingual
ent_000e223a3d2bae71,obs_1eb8e6ab221d,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_0016dfde619b1206,obs_8bc316c44025,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_00784c5550366ab3,obs_1e06f9601642,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_0184717f9532920f,obs_3f8682b2bdc8,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_0184717f9532920f,obs_8fdca4f88076,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_01c8ba32b8ec9964,obs_a73cd2d7d026,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_01cb9d63b82bdbaa,obs_82ab63b23273,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_01f538fca6735763,obs_0d3b85a261f4,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_01f538fca6735763,obs_5aa876c118b7,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_028c4ab91da06f04,obs_e0bc4b5140e8,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_02bc9cc6260cd189,obs_4ed05de51495,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_02bc9cc6260cd189,obs_bc053ae89f17,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_02d652588d8e4136,obs_bbcd685c35cb,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_02e7c5da5157fa42,obs_320a4830288b,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_0326bdba90eb1ff2,obs_717a4f32651a,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_04162d124aa240d8,obs_38e6a2bc2839,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_0504dd5f09557f63,obs_0ee59f7f6f37,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_0560316518203a3e,obs_e39d0e089cc4,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_06700f0f3872347f,obs_69208d21cbae,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_06700f0f3872347f,obs_6b3b55d2279b,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_06700f0f3872347f,obs_b2d1f94a8460,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_06d1091bc0eeb0fa,obs_bb3585789d1d,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_06d1091bc0eeb0fa,obs_c092c8404908,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_06d9152c5fa6e014,obs_5cfd92849f37,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_07459523baec85a6,obs_1b7d6faeccdf,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_07459523baec85a6,obs_61c70715fcfa,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_07459523baec85a6,obs_cbeeb6955b39,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_07459523baec85a6,obs_d441e79d30ea,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_07cff2ae4da3f3ce,obs_3d1299b64ee8,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_07cff2ae4da3f3ce,obs_5b21e0a1eae0,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_0874b0c182e6b791,obs_04948db246bd,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_0874b0c182e6b791,obs_4863a0fb0d53,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_0874b0c182e6b791,obs_66b0966e6dbd,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_0874b0c182e6b791,obs_8e057e392de7,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_0874b0c182e6b791,obs_ec249d92e084,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_087922806c82792b,obs_7e9fcb438bcc,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_089e4ebe536ef9a9,obs_02475b89dd63,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_09085a02f5a71bc7,obs_dec991d03e0f,HAS_OBSERVATION,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
