entity_id,canonical_entity_id,canonical_key,display_name,normalized_name,name,primary_type,type,type_labels_json,type_labels_pipe,description,attributes_json,source_chunk_ids_json,source_chunk_ids_pipe,entity_occurrence_ids_json,entity_occurrence_ids_pipe
ent_000e223a3d2bae71,ent_000e223a3d2bae71,ent_000e223a3d2bae71,PMS 自动并车同步过程逻辑,pms自动并车同步过程逻辑,PMS 自动并车同步过程逻辑,作业活动,作业活动,"[""作业活动""]",作业活动,,{},[374],374,"[""eocc_32df079b94705da5""]",eocc_32df079b94705da5
ent_0016dfde619b1206,ent_0016dfde619b1206,ent_0016dfde619b1206,浮球卡滞,浮球卡滞,浮球卡滞,原因因素,原因因素,"[""原因因素""]",原因因素,,{},[382],382,"[""eocc_d3b946954efad21a""]",eocc_d3b946954efad21a
ent_00784c5550366ab3,ent_00784c5550366ab3,ent_00784c5550366ab3,防潮加热器,防潮加热器,防潮加热器,设备部件,设备部件,"[""设备部件""]",设备部件,,{},[377],377,"[""eocc_32268f19d0737076""]",eocc_32268f19d0737076
ent_009f892d2ba90f38,ent_009f892d2ba90f38,ent_009f892d2ba90f38,保护整定,保护整定,保护整定,监测指标,监测指标,"[""监测指标""]",监测指标,,{},[383],383,"[""eocc_15658a32c03524d7""]",eocc_15658a32c03524d7
ent_00e74a1289cb06ae,ent_00e74a1289cb06ae,ent_00e74a1289cb06ae,重大电气事故,重大电气事故,重大电气事故,故障异常,故障异常,"[""故障异常""]",故障异常,,{},[380],380,"[""eocc_4c94ecae3beb2e7c""]",eocc_4c94ecae3beb2e7c
ent_015fb9befb049e1f,ent_015fb9befb049e1f,ent_015fb9befb049e1f,特种与专用设备,特种与专用设备,特种与专用设备,电气系统,电气系统,"[""电气系统""]",电气系统,,{},[361],361,"[""eocc_8afe1a83c30cf0a4""]",eocc_8afe1a83c30cf0a4
ent_016f991a5d81d101,ent_016f991a5d81d101,ent_016f991a5d81d101,60Hz,60hz,60Hz,监测指标,监测指标,"[""监测指标""]",监测指标,,{},[371],371,"[""eocc_00d8ba3a4eefc970""]",eocc_00d8ba3a4eefc970
ent_0184717f9532920f,ent_0184717f9532920f,ent_0184717f9532920f,对地绝缘电阻,对地绝缘电阻,对地绝缘电阻,监测指标,监测指标,"[""监测指标""]",监测指标,,"{""数值"": ""26 欧姆""}",[368],368,"[""eocc_c827a155c8a84474""]",eocc_c827a155c8a84474
ent_01c8ba32b8ec9964,ent_01c8ba32b8ec9964,ent_01c8ba32b8ec9964,绝缘故障,绝缘故障,绝缘故障,故障异常,故障异常,"[""故障异常""]",故障异常,,{},[365],365,"[""eocc_c2e345ccb3f5ff91""]",eocc_c2e345ccb3f5ff91
ent_01cb9d63b82bdbaa,ent_01cb9d63b82bdbaa,ent_01cb9d63b82bdbaa,线圈烧毁,线圈烧毁,线圈烧毁,原因因素,原因因素,"[""原因因素""]",原因因素,,{},[383],383,"[""eocc_d1a218987964f27e""]",eocc_d1a218987964f27e
ent_01f538fca6735763,ent_01f538fca6735763,ent_01f538fca6735763,调速器,调速器,调速器,设备部件,设备部件,"[""设备部件""]",设备部件,,"{""英文名"": ""Governor""}",[375],375,"[""eocc_c75d09b9689d9120""]",eocc_c75d09b9689d9120
ent_028c4ab91da06f04,ent_028c4ab91da06f04,ent_028c4ab91da06f04,单体电压,单体电压,单体电压,监测指标,监测指标,"[""监测指标""]",监测指标,,{},[363],363,"[""eocc_34adb6cd8738b4cd""]",eocc_34adb6cd8738b4cd
ent_02bc9cc6260cd189,ent_02bc9cc6260cd189,ent_02bc9cc6260cd189,日常运维,日常运维,日常运维,作业活动,作业活动,"[""作业活动""]",作业活动,,{},[360],360,"[""eocc_d679c607024324b1""]",eocc_d679c607024324b1
ent_02d652588d8e4136,ent_02d652588d8e4136,ent_02d652588d8e4136,实践维护,实践维护,实践维护,作业活动,作业活动,"[""作业活动""]",作业活动,,{},[366],366,"[""eocc_e9ed6b1f14a56acc""]",eocc_e9ed6b1f14a56acc
