observation_id,text,kind,source_kind,attribute_key,attribute_value,relation_type,peer_entity_id,peer_entity_name,direction,source_chunk_ids_json,source_chunk_ids_pipe
obs_004db48562a8,被 测速探头间隙变化 以 导致 关系连接,relation_projection,relation,,,导致,ent_dabdcfc61a4e6111,测速探头间隙变化,incoming,[382],382
obs_00c0f6086061,被 电气系统维护 以 针对 关系连接,relation_projection,relation,,,针对,ent_d3955ecb237b2ebf,电气系统维护,incoming,[360],360
obs_00c2272dec81,被 分级卸载 以 针对 关系连接,relation_projection,relation,,,针对,ent_869172a6705f0823,分级卸载,incoming,[374],374
obs_00c3f96a9d91,被 视觉观察 以 针对 关系连接,relation_projection,relation,,,针对,ent_1b1f8b09acfcc70e,视觉观察,incoming,[365],365
obs_0103f96879b6,与 定期维护 存在 执行 关系,relation_projection,relation,,,执行,ent_e0979b5bbb59904c,定期维护,outgoing,[362],362
obs_013205364df4,与 输入、输出滤波器 存在 供电 关系,relation_projection,relation,,,供电,ent_b0635d3656aa8f77,输入、输出滤波器,outgoing,[376],376
obs_01d24ba74239,被 日常巡检 以 监测 关系连接,relation_projection,relation,,,监测,ent_d1b3e9e35bfbcdc4,日常巡检,incoming,[363],363
obs_01e5a855cfde,被 船用 VFD 以 符合 关系连接,relation_projection,relation,,,符合,ent_b5f629bc1ebfc534,船用 VFD,incoming,[376],376
obs_02113d7dd569,与 EEDI 指标 存在 监测 关系,relation_projection,relation,,,监测,ent_d69edb5174eba337,EEDI 指标,outgoing,[374],374
obs_02163279c0fc,被 调度不当 以 导致 关系连接,relation_projection,relation,,,导致,ent_c4823eec5f3ad189,调度不当,incoming,[367],367
obs_023113a43842,被 接地故障 以 影响 关系连接,relation_projection,relation,,,影响,ent_8026b84d8719127e,接地故障,incoming,[367],367
obs_023ebff22618,与 泵 存在 供电 关系,relation_projection,relation,,,供电,ent_53ab37dc34252d57,泵,outgoing,[375],375
obs_02475b89dd63,与 绝缘电阻下降 存在 导致 关系,relation_projection,relation,,,导致,ent_92e713b3cc08d362,绝缘电阻下降,outgoing,[381],381
obs_0278937865a3,被 设备管理人员 以 针对 关系连接,relation_projection,relation,,,针对,ent_57abfd43208fb62d,设备管理人员,incoming,[369],369
obs_027f258b29f1,与 1 号发电机 存在 发生于 关系,relation_projection,relation,,,发生于,ent_dc31048873d8be87,1 号发电机,outgoing,[368],368
obs_028828f0c37c,与 故障 存在 处理 关系,relation_projection,relation,,,处理,ent_eb902a5e499c383e,故障,outgoing,[369],369
obs_02e2428a82f7,被 接地故障 以 影响 关系连接,relation_projection,relation,,,影响,ent_8026b84d8719127e,接地故障,incoming,[380],380
obs_03075ea86988,被 局部过热 以 发生于 关系连接,relation_projection,relation,,,发生于,ent_54b7a158611f1c8b,局部过热,incoming,[381],381
obs_0336d85307ef,与 电流 存在 监测 关系,relation_projection,relation,,,监测,ent_2d1c210dd512ea5a,电流,outgoing,[366],366
obs_047dd0a9f32e,被 烘干 以 处理 关系连接,relation_projection,relation,,,处理,ent_452b22c90f20d3a5,烘干,incoming,[377],377
obs_04948db246bd,与 船舶电力系统 存在 供电 关系,relation_projection,relation,,,供电,ent_10991af01325c6f0,船舶电力系统,outgoing,[371],371
obs_04e4c4e298d1,被 应急发电机 以 供电 关系连接,relation_projection,relation,,,供电,ent_0874b0c182e6b791,应急发电机,incoming,[371],371
obs_061037a1eb9c,与 火灾报警 存在 监测 关系,relation_projection,relation,,,监测,ent_2ca714d359c5b46e,火灾报警,outgoing,[361],361
