entity_id,canonical_entity_id,canonical_key,display_name,normalized_name,name,primary_type,type,type_labels_json,type_labels_pipe,description,attributes_json,source_chunk_ids_json,source_chunk_ids_pipe,entity_occurrence_ids_json,entity_occurrence_ids_pipe
ent_0078f65d708b1617,ent_0078f65d708b1617,ent_0078f65d708b1617,日常巡检,日常巡检,日常巡检,维护活动,维护活动,"[""维护活动""]",维护活动,,{},"[401, 409]",401|409,"[""eocc_76abc5a40cacf99e"", ""eocc_dcab001c8f42df94""]",eocc_76abc5a40cacf99e|eocc_dcab001c8f42df94
ent_00bf55b8d74a43e9,ent_00bf55b8d74a43e9,ent_00bf55b8d74a43e9,阀芯配合面,阀芯配合面,阀芯配合面,元件部件,元件部件,"[""元件部件""]",元件部件,,{},[396],396,"[""eocc_f2d9a9b4a96c651f""]",eocc_f2d9a9b4a96c651f
ent_00c98d8d5efdda91,ent_00c98d8d5efdda91,ent_00c98d8d5efdda91,液压系统,液压系统,液压系统,系统设备,系统设备,"[""系统设备""]",系统设备,,{},"[386, 389, 391, 394, 396, 404, 405, 410, 412, 420, 425]",386|389|391|394|396|404|405|410|412|420|425,"[""eocc_14341ea9915115df"", ""eocc_2c7af443da37e581"", ""eocc_4501c8295ee6e9f9"", ""eocc_4b949daeceb8d215"", ""eocc_87aaf214154f3869"", ""eocc_9a3bf5eaa22c5e30"", ""eocc_b17bd0f39b5b58cf"", ""eocc_c2d04f4efe601919"", ""eocc_c8275daa683ca578"", ""eocc_eb6ba63afa183259"", ""eocc_feeb223d0b50af4b""]",eocc_14341ea9915115df|eocc_2c7af443da37e581|eocc_4501c8295ee6e9f9|eocc_4b949daeceb8d215|eocc_87aaf214154f3869|eocc_9a3bf5eaa22c5e30|eocc_b17bd0f39b5b58cf|eocc_c2d04f4efe601919|eocc_c8275daa683ca578|eocc_eb6ba63afa183259|eocc_feeb223d0b50af4b
ent_00d46abaf9189b75,ent_00d46abaf9189b75,ent_00d46abaf9189b75,一般辅机液压单元,一般辅机液压单元,一般辅机液压单元,系统设备,系统设备,"[""系统设备""]",系统设备,,"{""类别"": ""B 类设备""}",[402],402,"[""eocc_22da95c4435c47bf""]",eocc_22da95c4435c47bf
ent_0151aad7aaef8ab2,ent_0151aad7aaef8ab2,ent_0151aad7aaef8ab2,温度升高,温度升高,温度升高,原因诱因,原因诱因,"[""原因诱因""]",原因诱因,,{},[396],396,"[""eocc_1df0276398980811""]",eocc_1df0276398980811
ent_0177cde8f15e4166,ent_0177cde8f15e4166,ent_0177cde8f15e4166,甲板污染,甲板污染,甲板污染,故障异常,故障异常,"[""故障异常""]",故障异常,,{},[396],396,"[""eocc_7c03acd25b6288c3""]",eocc_7c03acd25b6288c3
ent_0224384aa127ecb7,ent_0224384aa127ecb7,ent_0224384aa127ecb7,阀件,阀件,阀件,元件部件,元件部件,"[""元件部件""]",元件部件,,{},"[403, 421, 425]",403|421|425,"[""eocc_00de1dba2d94aad4"", ""eocc_05c2c628b92315cb"", ""eocc_0f3e7318ae6f69fc""]",eocc_00de1dba2d94aad4|eocc_05c2c628b92315cb|eocc_0f3e7318ae6f69fc
ent_023902a794b32c69,ent_023902a794b32c69,ent_023902a794b32c69,冷却,冷却,冷却,系统设备,系统设备,"[""系统设备""]",系统设备,,{},[424],424,"[""eocc_83191b373035ede5""]",eocc_83191b373035ede5
ent_02498c03d7fcc4af,ent_02498c03d7fcc4af,ent_02498c03d7fcc4af,基础排气,基础排气,基础排气,维护活动,维护活动,"[""维护活动""]",维护活动,,{},[422],422,"[""eocc_966fb50c37d443b7""]",eocc_966fb50c37d443b7
ent_02bbfcb12b62cb0c,ent_02bbfcb12b62cb0c,ent_02bbfcb12b62cb0c,吸油系统,吸油系统,吸油系统,元件部件,元件部件,"[""元件部件""]",元件部件,,{},[416],416,"[""eocc_29744a194f49c894""]",eocc_29744a194f49c894
