entity_id,observation_id,canonical_type_en,display_type_zh,display_type_en,display_type_bilingual
ent_0078f65d708b1617,obs_0fcafd44639a,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_0078f65d708b1617,obs_37a703dba0cf,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_0078f65d708b1617,obs_42eb84491091,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_0078f65d708b1617,obs_87b90ee00093,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_0078f65d708b1617,obs_8d030c5c1186,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_0078f65d708b1617,obs_901ead6a8cc7,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_0078f65d708b1617,obs_982287c411ed,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_0078f65d708b1617,obs_9be7659d27f6,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_0078f65d708b1617,obs_b831831f1b15,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_0078f65d708b1617,obs_c4af1040364a,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_0078f65d708b1617,obs_eb55fa6385e3,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_0078f65d708b1617,obs_f2e15374842c,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_0078f65d708b1617,obs_f4de81797654,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_0078f65d708b1617,obs_fd55f949d099,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_00bf55b8d74a43e9,obs_8540d96e933a,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_00c98d8d5efdda91,obs_0050083b5150,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_00c98d8d5efdda91,obs_025197dddf99,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_00c98d8d5efdda91,obs_079792b849fa,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_00c98d8d5efdda91,obs_087d259b87a2,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_00c98d8d5efdda91,obs_0bf2722c5707,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_00c98d8d5efdda91,obs_0d19b7b4e000,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
ent_00c98d8d5efdda91,obs_108ea4a8d6d2,HAS_OBSERVATION,包含观测,Has Observation,包含观测 / Has Observation
