entity_id,canonical_entity_id,canonical_key,display_name,normalized_name,name,primary_type,type,type_labels_json,type_labels_pipe,description,attributes_json,source_chunk_ids_json,source_chunk_ids_pipe,entity_occurrence_ids_json,entity_occurrence_ids_pipe
ent_00522d1687371a9b,ent_00522d1687371a9b,ent_00522d1687371a9b,电涡流探头,电涡流探头,电涡流探头,机电对象,机电对象,"[""机电对象""]",机电对象,,{},[450],450,"[""eocc_381936d04fc60219""]",eocc_381936d04fc60219
ent_00798cd7d8548796,ent_00798cd7d8548796,ent_00798cd7d8548796,通讯联络能力,通讯联络能力,通讯联络能力,故障现象,故障现象,"[""故障现象""]",故障现象,,{},[450],450,"[""eocc_2d8bffe6ae8f9756""]",eocc_2d8bffe6ae8f9756
ent_008588b568bdc6f0,ent_008588b568bdc6f0,ent_008588b568bdc6f0,过热,过热,过热,故障类型,故障类型,"[""故障类型""]",故障类型,,{},[435],435,"[""eocc_a91f3e2cfeea6b32""]",eocc_a91f3e2cfeea6b32
ent_011eebc548e805df,ent_011eebc548e805df,ent_011eebc548e805df,机械磨损加剧,机械磨损加剧,机械磨损加剧,故障类型,故障类型,"[""故障类型""]",故障类型,,{},[448],448,"[""eocc_093d30d980e970dd""]",eocc_093d30d980e970dd
ent_0127ce9b96551757,ent_0127ce9b96551757,ent_0127ce9b96551757,高压油管,高压油管,高压油管,机电对象,机电对象,"[""机电对象""]",机电对象,,{},[445],445,"[""eocc_0ed1d04b6f65cd6d""]",eocc_0ed1d04b6f65cd6d
ent_012e90bec41638bd,ent_012e90bec41638bd,ent_012e90bec41638bd,气门损坏,气门损坏,气门损坏,故障现象,故障现象,"[""故障现象""]",故障现象,,{},[431],431,"[""eocc_a822755e42500c73""]",eocc_a822755e42500c73
ent_0140b1085e9b45a2,ent_0140b1085e9b45a2,ent_0140b1085e9b45a2,变频器散热部位,变频器散热部位,变频器散热部位,机电对象,机电对象,"[""机电对象""]",机电对象,,{},[433],433,"[""eocc_02a3ffb1814a9fb0""]",eocc_02a3ffb1814a9fb0
ent_01539fd57612d78c,ent_01539fd57612d78c,ent_01539fd57612d78c,明显巨响,明显巨响,明显巨响,故障现象,故障现象,"[""故障现象""]",故障现象,,{},[449],449,"[""eocc_3c597be27204eb33""]",eocc_3c597be27204eb33
ent_016be4e5e417d833,ent_016be4e5e417d833,ent_016be4e5e417d833,传动失效,传动失效,传动失效,原因因素,原因因素,"[""原因因素""]",原因因素,,{},[432],432,"[""eocc_a9139332988224c6""]",eocc_a9139332988224c6
ent_021d62ef0835c768,ent_021d62ef0835c768,ent_021d62ef0835c768,关键部件定期更换,关键部件定期更换,关键部件定期更换,预防管理策略,预防管理策略,"[""预防管理策略""]",预防管理策略,,{},[449],449,"[""eocc_440f1b1e60000ed6""]",eocc_440f1b1e60000ed6
ent_02237253f1511a73,ent_02237253f1511a73,ent_02237253f1511a73,冒烟,冒烟,冒烟,故障现象,故障现象,"[""故障现象""]",故障现象,,{},[439],439,"[""eocc_bdb57470961765d1""]",eocc_bdb57470961765d1
ent_023881db1c7534fb,ent_023881db1c7534fb,ent_023881db1c7534fb,主开关拒动或误动,主开关拒动或误动,主开关拒动或误动,故障类型,故障类型,"[""故障类型""]",故障类型,,{},[438],438,"[""eocc_8c1e83d880852498""]",eocc_8c1e83d880852498
ent_024da1ee0f1c3060,ent_024da1ee0f1c3060,ent_024da1ee0f1c3060,活塞本体磨损变形,活塞本体磨损变形,活塞本体磨损变形,原因因素,原因因素,"[""原因因素""]",原因因素,,{},[431],431,"[""eocc_b85cea26d91862e6""]",eocc_b85cea26d91862e6
ent_025934266fedb40c,ent_025934266fedb40c,ent_025934266fedb40c,转速波动,转速波动,转速波动,故障现象,故障现象,"[""故障现象""]",故障现象,,{},[435],435,"[""eocc_ad7aa73e39836f66""]",eocc_ad7aa73e39836f66
ent_0264e17d79dfd7d0,ent_0264e17d79dfd7d0,ent_0264e17d79dfd7d0,安装质量,安装质量,安装质量,预防管理策略,预防管理策略,"[""预防管理策略""]",预防管理策略,,{},[451],451,"[""eocc_0a46d277b27cfb72""]",eocc_0a46d277b27cfb72
ent_02a90b60a92a5fde,ent_02a90b60a92a5fde,ent_02a90b60a92a5fde,建立高压油管定期更换制度,建立高压油管定期更换制度,建立高压油管定期更换制度,预防管理策略,预防管理策略,"[""预防管理策略""]",预防管理策略,,{},[445],445,"[""eocc_98f195192e5e8d3a""]",eocc_98f195192e5e8d3a
ent_035e8c2d1dce9053,ent_035e8c2d1dce9053,ent_035e8c2d1dce9053,烘干,烘干,烘干,处置措施,处置措施,"[""处置措施""]",处置措施,,{},[436],436,"[""eocc_d760472ba8dda169""]",eocc_d760472ba8dda169
ent_038360f851d3c01c,ent_038360f851d3c01c,ent_038360f851d3c01c,FMECA,fmeca,FMECA,监测诊断手段,监测诊断手段,"[""监测诊断手段""]",监测诊断手段,,"{""全称"": ""故障模式、影响及危害性分析""}","[427, 430, 450]",427|430|450,"[""eocc_3e1670639df6517b"", ""eocc_43f94b2c93a7582b"", ""eocc_ca11c036e4cd0e1e""]",eocc_3e1670639df6517b|eocc_43f94b2c93a7582b|eocc_ca11c036e4cd0e1e
