observation_id,text,kind,source_kind,attribute_key,attribute_value,relation_type,peer_entity_id,peer_entity_name,direction,source_chunk_ids_json,source_chunk_ids_pipe
obs_0001436a7349,被 C 轮主机增压器频繁喘振 以 采取 关系连接,relation_projection,relation,,,采取,ent_9b771f820f5acbd2,C 轮主机增压器频繁喘振,incoming,[471],471
obs_001a4debbb8b,被 主机 No.8 缸 以 组成或隶属 关系连接,relation_projection,relation,,,组成或隶属,ent_d3b2d3b4b94f27a6,主机 No.8 缸,incoming,[463],463
obs_0027134558e8,与 增压器轴承 存在 涉及设备 关系,relation_projection,relation,,,涉及设备,ent_5421ef98a44dda87,增压器轴承,outgoing,[488],488
obs_002ae7003e32,与 第 2 缸 存在 处理对象 关系,relation_projection,relation,,,处理对象,ent_ed55f4b293cd01c8,第 2 缸,outgoing,[491],491
obs_0057b9a526be,与 柱塞 存在 组成或隶属 关系,relation_projection,relation,,,组成或隶属,ent_798095d4d5ee49ee,柱塞,outgoing,[483],483
obs_00742a65483d,与 备用新轴瓦 存在 处理对象 关系,relation_projection,relation,,,处理对象,ent_a91e03f3c7c39d62,备用新轴瓦,outgoing,[503],503
obs_0082e904c356,与 活塞 存在 处理对象 关系,relation_projection,relation,,,处理对象,ent_e43190dd2b913b2e,活塞,outgoing,[484],484
obs_0086598deebd,与 连接板松动未换新且未用专用工具装配 存在 原因是 关系,relation_projection,relation,,,原因是,ent_ab2b1ab99d09c1f1,连接板松动未换新且未用专用工具装配,outgoing,[459],459
obs_008bc4fbf743,被 FH 轮 No.2 缸活塞头烧穿 以 采取 关系连接,relation_projection,relation,,,采取,ent_2ebdb71cb8f2ff63,FH 轮 No.2 缸活塞头烧穿,incoming,[476],476
obs_0095dd4e63f0,被 凸轮轴焊接部位再次断裂事故 以 教训为 关系连接,relation_projection,relation,,,教训为,ent_2bf51d8a5ce4e135,凸轮轴焊接部位再次断裂事故,incoming,[514],514
