relationship_id,neo4j_rel_type,source_entity_id,target_entity_id,source,target,source_role,target_role,relation_key,canonical_type,type,raw_type,raw_types_json,raw_types_pipe,description,normalization_status,matched_schema_json,source_chunk_ids_json,source_chunk_ids_pipe,canonical_type_en,display_type_zh,display_type_en,display_type_bilingual
rel_5722a91a635da89f,REL_F397DD8B78,ent_00081508f4e60366,ent_d946bed6647fb563,用手动砂轮打出约 20 mm 坡口,缸头,处置措施,设备部件,处理对象,处理对象,处理对象,打出,"[""打出""]",打出,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""处理对象"", ""relation_key"": ""处理对象"", ""source_entity_type"": ""处置措施"", ""target_entity_type"": ""设备部件""}",[498],498,ACTS_ON,处理对象,Acts On,处理对象 / Acts On
rel_ef70798e97c53c0f,REL_F397DD8B78,ent_002f06e36c771128,ent_6a93019fd8bdc32e,更换油头,油头,处置措施,设备部件,处理对象,处理对象,处理对象,更换,"[""更换""]",更换,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""处理对象"", ""relation_key"": ""处理对象"", ""source_entity_type"": ""处置措施"", ""target_entity_type"": ""设备部件""}",[479],479,ACTS_ON,处理对象,Acts On,处理对象 / Acts On
rel_c8528b6784cf8d41,REL_EDD5CAA12A,ent_00829985204a0b85,ent_0003afcded4463a0,失去弹性并严重磨损,第 4 道令,故障损伤,设备部件,发生部位,发生部位,发生部位,发现...失去弹性并严重磨损,"[""发现...失去弹性并严重磨损""]",发现...失去弹性并严重磨损,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""发生部位"", ""relation_key"": ""发生部位"", ""source_entity_type"": ""故障损伤"", ""target_entity_type"": ""设备部件""}",[507],507,OCCURS_AT_COMPONENT,发生部位,Occurs At Component,发生部位 / Occurs At Component
rel_e28982bdcee7b88d,REL_B855FE5F5B,ent_00b5eb72aadb3c14,ent_038802c6c8d34fe2,GAY 轮主机透平重复发生故障和损坏,拖延修理,事故案例,原因因素,原因是,原因是,原因是,原因是,"[""原因是""]",原因是,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""原因是"", ""relation_key"": ""原因是"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""原因因素""}",[462],462,CAUSED_BY,原因是,Caused By,原因是 / Caused By
rel_273c01fbab1f8c2a,REL_5D9506010F,ent_00b5eb72aadb3c14,ent_095b28a36c45562a,GAY 轮主机透平重复发生故障和损坏,主机转速加不上去,事故案例,故障损伤,表现为,表现为,表现为,表现为,"[""表现为""]",表现为,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""表现为"", ""relation_key"": ""表现为"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""故障损伤""}",[462],462,MANIFESTS_AS,表现为,Manifests As,表现为 / Manifests As
rel_a5e29842e2c1499d,REL_B855FE5F5B,ent_00b5eb72aadb3c14,ent_0bf852ab7ad7d6e4,GAY 轮主机透平重复发生故障和损坏,存在侥幸心理,事故案例,原因因素,原因是,原因是,原因是,原因是,"[""原因是""]",原因是,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""原因是"", ""relation_key"": ""原因是"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""原因因素""}",[462],462,CAUSED_BY,原因是,Caused By,原因是 / Caused By
rel_cd8f4e4f4cc96712,REL_5D9506010F,ent_00b5eb72aadb3c14,ent_16b0f7ba006ec40c,GAY 轮主机透平重复发生故障和损坏,风机端叶轮与壳体有擦碰痕迹,事故案例,故障损伤,表现为,表现为,表现为,表现为,"[""表现为""]",表现为,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""表现为"", ""relation_key"": ""表现为"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""故障损伤""}",[462],462,MANIFESTS_AS,表现为,Manifests As,表现为 / Manifests As
rel_457d8115eea48fa5,REL_3F8A56C3E0,ent_00b5eb72aadb3c14,ent_1c0a13bbcdbc6b95,GAY 轮主机透平重复发生故障和损坏,PASLRGUDA 港,事故案例,地点,发生于,发生于,发生于,开离...后,"[""开离...后""]",开离...后,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""发生于"", ""relation_key"": ""发生于"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""地点""}",[462],462,OCCURS_AT,发生于,Occurs At,发生于 / Occurs At
rel_fbb1f62a4db91aaa,REL_5D9506010F,ent_00b5eb72aadb3c14,ent_2be0a0457add6189,GAY 轮主机透平重复发生故障和损坏,油气封损坏,事故案例,故障损伤,表现为,表现为,表现为,表现为,"[""表现为""]",表现为,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""表现为"", ""relation_key"": ""表现为"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""故障损伤""}",[462],462,MANIFESTS_AS,表现为,Manifests As,表现为 / Manifests As
rel_235b41ff062e95cd,REL_B855FE5F5B,ent_00b5eb72aadb3c14,ent_2c8c120cb9d3a4d0,GAY 轮主机透平重复发生故障和损坏,没有按照说明书规定和要求实施拆装,事故案例,原因因素,原因是,原因是,原因是,原因是,"[""原因是""]",原因是,,exact_match,"{""aliases"": [], ""directionality"": ""directed"", ""relation"": ""原因是"", ""relation_key"": ""原因是"", ""source_entity_type"": ""事故案例"", ""target_entity_type"": ""原因因素""}",[462],462,CAUSED_BY,原因是,Caused By,原因是 / Caused By
